ArraySize,DataType,AvgTimeMs,AvgComparisons
100,Random,0.10154,12896
100,Reverse,0.3011,14893
100,AlmostSorted,0.10918,14003
200,Random,0.232,27725
200,Reverse,0.23396,28917
200,AlmostSorted,0.23226,29162
300,Random,0.38592,45485
300,Reverse,0.34974,44656
300,AlmostSorted,0.34836,43954
400,Random,0.5248,63241
400,Reverse,0.46606,60092
400,AlmostSorted,0.45816,60653
500,Random,0.64774,79325
500,Reverse,0.57496,76404
500,AlmostSorted,0.60582,79320
600,Random,0.78842,93587
600,Reverse,0.6891,93056
600,AlmostSorted,0.6669,90887
700,Random,0.85506,107337
700,Reverse,0.77064,106480
700,AlmostSorted,0.77488,105473
800,Random,0.9748,125734
800,Reverse,0.88446,124376
800,AlmostSorted,0.85412,124362
900,Random,1.07286,137248
900,Reverse,1.0886,143461
900,AlmostSorted,1.16628,142558
1000,Random,1.3471,154706
1000,Reverse,1.45942,158772
1000,AlmostSorted,2.09946,161254
1100,Random,1.58354,177909
1100,Reverse,1.36936,171048
1100,AlmostSorted,1.40794,171711
1200,Random,1.69674,190266
1200,Reverse,1.46108,183378
1200,AlmostSorted,1.54782,183520
1300,Random,2.0221,211911
1300,Reverse,1.94944,197246
1300,AlmostSorted,1.67342,197503
1400,Random,2.06074,229469
1400,Reverse,1.7473,208489
1400,AlmostSorted,1.96134,219238
1500,Random,2.43226,243875
1500,Reverse,1.87736,230073
1500,AlmostSorted,1.88832,239374
1600,Random,2.30274,259274
1600,Reverse,2.0003,249156
1600,AlmostSorted,2.1034,252900
1700,Random,2.50818,282121
1700,Reverse,2.28718,270849
1700,AlmostSorted,2.27034,269779
1800,Random,2.71726,294813
1800,Reverse,2.35558,287102
1800,AlmostSorted,2.32502,284530
1900,Random,2.7275,316001
1900,Reverse,2.27532,299860
1900,AlmostSorted,2.339,298533
2000,Random,2.87922,332808
2000,Reverse,2.48348,316369
2000,AlmostSorted,2.57488,321491
2100,Random,3.10648,339243
2100,Reverse,2.72966,334190
2100,AlmostSorted,2.76896,334455
2200,Random,3.26492,363989
2200,Reverse,2.78042,347017
2200,AlmostSorted,2.86994,347854
2300,Random,3.2338,374035
2300,Reverse,2.91126,355916
2300,AlmostSorted,2.79092,357441
2400,Random,3.71972,398212
2400,Reverse,3.20816,369165
2400,AlmostSorted,3.1628,368148
2500,Random,3.76206,413457
2500,Reverse,3.22438,384493
2500,AlmostSorted,3.2889,384584
2600,Random,4.05688,428956
2600,Reverse,3.25054,402212
2600,AlmostSorted,3.3617,404290
2700,Random,4.17896,442663
2700,Reverse,3.40948,417307
2700,AlmostSorted,3.51228,425947
2800,Random,4.24046,465452
2800,Reverse,4.05474,432040
2800,AlmostSorted,3.69584,437087
2900,Random,4.26988,479210
2900,Reverse,3.70056,445114
2900,AlmostSorted,3.67042,456599
3000,Random,4.26956,497211
3000,Reverse,3.70328,474440
3000,AlmostSorted,4.05612,476032
